method,R,T,repeat,seconds
dac,20,100,38,0.00012708399999994402
sequential,20,100,39,3.483400000003911e-05
dac,20,100,39,0.00013050000000003337
sequential,20,100,40,3.5500000000077137e-05
dac,20,100,40,0.00012883399999996659
sequential,20,100,41,3.470900000002164e-05
dac,20,100,41,0.00012820800000001853
sequential,20,100,42,3.512500000002472e-05
dac,20,100,42,0.0001275840000000139
sequential,20,100,43,3.483400000003911e-05
dac,20,100,43,0.00012691700000000417
sequential,20,100,44,3.479200000000571e-05
dac,20,100,44,0.00012683300000004838
sequential,20,100,45,3.462500000006585e-05
dac,20,100,45,0.00012683399999990908
sequential,20,100,46,3.5167000000058124e-05
dac,20,100,46,0.00012620799999996102
sequential,20,100,47,3.504099999995791e-05
dac,20,100,47,0.0001314999999999511
sequential,20,100,48,3.524999999993117e-05
dac,20,100,48,0.00012629200000002783
sequential,20,100,49,3.51669999999471e-05
dac,20,100,49,0.00012583300000001962
sequential,25,100,0,4.345799999994071e-05
dac,25,100,0,0.00012887500000002827
sequential,25,100,1,4.341699999999005e-05
dac,25,100,1,0.00012933299999995373
sequential,25,100,2,4.35410000000358e-05
dac,25,100,2,0.00012937499999998714
sequential,25,100,3,4.350000000008514e-05
dac,25,100,3,0.000129209000000019
sequential,25,100,4,4.3499999999974115e-05
dac,25,100,4,0.0001294579999999712
sequential,25,100,5,4.399999999993298e-05
dac,25,100,5,0.00013012500000009197
sequential,25,100,6,4.3915999999977196e-05
dac,25,100,6,0.00013045799999999996
sequential,25,100,7,4.358299999995818e-05
dac,25,100,7,0.00013045799999999996
sequential,25,100,8,4.370899999994737e-05
dac,25,100,8,0.0001299169999999794
sequential,25,100,9,4.4041999999966386e-05
dac,25,100,9,0.00012941700000002054
sequential,25,100,10,4.354200000000752e-05
dac,25,100,10,0.0001297090000000889
sequential,25,100,11,4.370899999994737e-05
dac,25,100,11,0.00012937499999998714
sequential,25,100,12,4.366700000002499e-05
dac,25,100,12,0.00013233300000004
sequential,25,100,13,4.366700000002499e-05
dac,25,100,13,0.00012920899999990798
sequential,25,100,14,4.362499999999159e-05
dac,25,100,14,0.00012887500000002827
sequential,25,100,15,4.333300000003426e-05
dac,25,100,15,0.00012929099999992033
sequential,25,100,16,4.304199999993763e-05
dac,25,100,16,0.00012920800000004729
sequential,25,100,17,4.354200000000752e-05
dac,25,100,17,0.00012904199999996813
sequential,25,100,18,4.320800000001679e-05
dac,25,100,18,0.00014179199999997394
sequential,25,100,19,4.574999999995555e-05
dac,25,100,19,0.00013174999999998604
sequential,25,100,20,4.3499999999974115e-05
dac,25,100,20,0.0001771250000000002
sequential,25,100,21,5.862499999997883e-05
dac,25,100,21,0.00013124999999991616
sequential,25,100,22,4.4874999999944265e-05
dac,25,100,22,0.0001308340000000241
sequential,25,100,23,4.341600000001833e-05
dac,25,100,23,0.0001304170000000493
sequential,25,100,24,4.304200000004865e-05
dac,25,100,24,0.00013008300000005857
sequential,25,100,25,4.316600000009441e-05
dac,25,100,25,0.00013004100000002516
sequential,25,100,26,4.320800000001679e-05
dac,25,100,26,0.0001316250000000796
sequential,25,100,27,4.3208999999988507e-05
dac,25,100,27,0.00013045799999999996
sequential,25,100,28,4.3291999999972575e-05
dac,25,100,28,0.00013012499999998095
sequential,25,100,29,4.300000000001525e-05
dac,25,100,29,0.0001299580000000411
sequential,25,100,30,4.333300000003426e-05
dac,25,100,30,0.00012941699999990952
sequential,25,100,31,4.2959000000064584e-05
dac,25,100,31,0.00013020799999996502
sequential,25,100,32,4.341600000001833e-05
dac,25,100,32,0.00013045799999999996
sequential,25,100,33,4.325000000005019e-05
dac,25,100,33,0.00012524999999996567
sequential,25,100,34,4.20420000000199e-05
dac,25,100,34,0.00012562500000001808
sequential,25,100,35,4.154200000006103e-05
dac,25,100,35,0.00012574999999992453
sequential,25,100,36,4.2125000000003965e-05
dac,25,100,36,0.00012558299999998468
sequential,25,100,37,4.174999999995155e-05
dac,25,100,37,0.00012533300000006076
sequential,25,100,38,4.154200000006103e-05
dac,25,100,38,0.00012558299999998468
sequential,25,100,39,4.1917000000002425e-05
dac,25,100,39,0.00012483399999996259
sequential,25,100,40,4.195799999995309e-05
dac,25,100,40,0.00012545899999993892
sequential,25,100,41,4.195799999995309e-05
dac,25,100,41,0.00012533300000006076
sequential,25,100,42,4.145799999999422e-05
dac,25,100,42,0.0001251249999999482
sequential,25,100,43,4.208299999997056e-05
dac,25,100,43,0.00012524999999996567
sequential,25,100,44,4.166599999999576e-05
dac,25,100,44,0.00012575000000003556
sequential,25,100,45,4.479099999998848e-05
dac,25,100,45,0.00012495899999998006
sequential,25,100,46,4.179199999998495e-05
dac,25,100,46,0.00012587500000005303
sequential,25,100,47,4.179199999998495e-05
dac,25,100,47,0.00012725000000002318
sequential,25,100,48,4.145899999996594e-05
dac,25,100,48,0.00012791700000003292
sequential,25,100,49,4.1958999999924806e-05
dac,25,100,49,0.00012741699999996303
sequential,50,100,0,8.279200000005371e-05
dac,50,100,0,0.00014404099999998365
sequential,50,100,1,8.249999999998536e-05
dac,50,100,1,0.0001434999999999631
sequential,50,100,2,8.225000000006144e-05
dac,50,100,2,0.00014291600000004845
sequential,50,100,3,8.275000000002031e-05
dac,50,100,3,0.0001455000000000206
sequential,50,100,4,8.14579999999232e-05
dac,50,100,4,0.000141874999999958
sequential,50,100,5,8.174999999999155e-05
dac,50,100,5,0.00014204100000003717
sequential,50,100,6,8.150000000006763e-05
dac,50,100,6,0.00014241699999995028
sequential,50,100,7,8.204199999994888e-05
dac,50,100,7,0.00014449999999999186
sequential,50,100,8,8.137500000005016e-05
dac,50,100,8,0.0001531249999999762
sequential,50,100,9,8.162499999997408e-05
dac,50,100,9,0.00014195900000002482
sequential,50,100,10,8.183299999997562e-05
dac,50,100,10,0.0001419580000000531
sequential,50,100,11,8.108400000006455e-05
dac,50,100,11,0.0001423329999999945
sequential,50,100,12,8.23339999999062e-05
dac,50,100,12,0.00013974999999999405
sequential,50,100,13,8.062499999994532e-05
dac,50,100,13,0.00014025000000006393
sequential,50,100,14,8.054200000007228e-05
dac,50,100,14,0.00013983299999997811
sequential,50,100,15,8.025000000000393e-05
dac,50,100,15,0.00013966600000003826
sequential,50,100,16,8.020899999994224e-05
dac,50,100,16,0.0001395410000000208
sequential,50,100,17,8.045800000000547e-05
dac,50,100,17,0.00014091599999999094
sequential,50,100,18,8.108399999995353e-05
dac,50,100,18,0.00015337499999990012
sequential,50,100,19,8.066699999997873e-05
dac,50,100,19,0.00014420800000003453
sequential,50,100,20,8.070800000004041e-05
dac,50,100,20,0.00014137499999999914
sequential,50,100,21,8.037499999991038e-05
dac,50,100,21,0.00014112500000007522
sequential,50,100,22,8.366599999998225e-05
dac,50,100,22,0.0001466660000000175
sequential,50,100,23,8.375000000004906e-05
dac,50,100,23,0.00014070899999996112
sequential,50,100,24,8.0332999999988e-05
dac,50,100,24,0.00014020900000000225
sequential,50,100,25,8.07499999999628e-05
dac,50,100,25,0.0001399169999999339
sequential,50,100,26,7.999999999996898e-05
dac,50,100,26,0.00013983299999997811
sequential,50,100,27,8.174999999999155e-05
dac,50,100,27,0.00014333300000002325
sequential,50,100,28,9.612500000000246e-05
dac,50,100,28,0.00014208299999995955
sequential,50,100,29,8.183300000008664e-05
dac,50,100,29,0.0001471669999999481
sequential,50,100,30,8.287499999992676e-05
dac,50,100,30,0.00014245800000001196
sequential,50,100,31,8.191700000004243e-05
dac,50,100,31,0.0001410410000000084
sequential,50,100,32,8.191700000004243e-05
dac,50,100,32,0.00014212499999999295
sequential,50,100,33,8.216700000007737e-05
dac,50,100,33,0.00014250000000004537
sequential,50,100,34,8.179200000002496e-05
dac,50,100,34,0.00014229200000004383
sequential,50,100,35,8.1208999999971e-05
dac,50,100,35,0.00014425000000006793
sequential,50,100,36,8.3667000000065e-05
dac,50,100,36,0.00014225000000001042
sequential,50,100,37,8.220800000002804e-05
dac,50,100,37,0.00014137499999999914
sequential,50,100,38,8.112500000001521e-05
dac,50,100,38,0.00014241699999995028
sequential,50,100,39,8.320900000002851e-05
dac,50,100,39,0.00014470900000007614
sequential,50,100,40,8.233300000004551e-05
dac,50,100,40,0.0001436250000000916
sequential,50,100,41,8.333400000004598e-05
dac,50,100,41,0.0001460840000000463
sequential,50,100,42,8.28339999999761e-05
dac,50,100,42,0.00014320800000000578
sequential,50,100,43,8.154200000010103e-05
dac,50,100,43,0.0001451670000000016
sequential,50,100,44,8.104200000003114e-05
dac,50,100,44,0.00014262499999995182
sequential,50,100,45,8.133300000001675e-05
dac,50,100,45,0.00014466700000004273
sequential,50,100,46,8.629099999990508e-05
dac,50,100,46,0.00014266699999998522
sequential,50,100,47,8.31249999999617e-05
dac,50,100,47,0.0001671250000000457
sequential,50,100,48,9.199999999998099e-05
dac,50,100,48,0.00014249999999993435
sequential,50,100,49,8.387499999995551e-05
dac,50,100,49,0.00014133400000004848
